Name,Latitude,Longitude,Navigate
"كنيسة الآباء والأجداد للروم الأرثوذكس
",31.7025302,35.2201402,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.7025302%2C35.2201402
"Orthodox church
",32.326207,35.3650506,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.326207%2C35.3650506
"Al Ra'il Al Salih
",32.2229425,35.2408651,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2229425%2C35.2408651
"Virgin Mary
",32.2236159,35.234275,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2236159%2C35.234275
"Greek orthodox Church
",31.9038738,35.1968047,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.9038738%2C35.1968047
"كنيسة
",31.9599538,35.2899411,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.9599538%2C35.2899411
"رقاد كنيسة العذراء
",32.0173127,35.0686534,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.0173127%2C35.0686534
"St. Cleophas Church
",31.8402987,35.1350171,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.8402987%2C35.1350171
"Rashed Al Hadadeen Church
",31.9023419,35.1964618,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.9023419%2C35.1964618
"الكنيسة الأرثوذكسية
",31.8559627,35.4510445,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.8559627%2C35.4510445
"كنيسة راميكس
",31.8598122,35.4508911,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.8598122%2C35.4508911
"Borken Churche
",32.4575973,35.2600613,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.4575973%2C35.2600613
"Saint Jerosimus Monastery
",31.8201077,35.5013151,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.8201077%2C35.5013151
"كنيسة مارجواجيوس الارثودكسية
",32.3864418,35.3236841,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.3864418%2C35.3236841
"كنيسة الروم الارثوذكس -عبلين
",32.822124,35.1927958,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.822124%2C35.1927958
